记录时间：2018-11-02 13:33:47,672 线程ID:[11] 日志级别：INFO  消息：服务已启动！
记录时间：2018-11-06 15:52:51,518 日志级别：INFO  消息：正在解析文章：1.txt
记录时间：2018-11-06 15:52:51,600 日志级别：INFO  消息：正在将1个文章，插入到数据库。
记录时间：2018-11-06 15:52:52,615 日志级别：INFO  消息：正在将1个文章，插入到数据库，已完成。
记录时间：2018-11-06 15:52:52,616 日志级别：INFO  消息：本次服务已完成。
记录时间：2018-11-09 11:02:49,266 日志级别：INFO  消息：开始解析文件！
记录时间：2018-11-09 11:02:49,277 日志级别：INFO  消息：本次发现1个文件，3个图片
记录时间：2018-11-09 11:38:02,389 日志级别：INFO  消息：开始解析文件！
记录时间：2018-11-09 11:38:02,399 日志级别：INFO  消息：本次发现1个文件，9个图片
记录时间：2018-11-09 11:38:02,399 日志级别：INFO  消息：正在解析文章：5.txt
记录时间：2018-11-09 11:42:21,697 日志级别：INFO  消息：开始解析文件！
记录时间：2018-11-09 11:42:21,704 日志级别：INFO  消息：本次发现1个文件，9个图片
记录时间：2018-11-09 11:42:21,705 日志级别：INFO  消息：正在解析文章：5.txt
记录时间：2018-11-09 11:42:33,596 日志级别：INFO  消息：正在将1个文章，插入到数据库。
记录时间：2018-11-09 11:42:35,665 日志级别：INFO  消息：正在将1个文章，插入到数据库，已完成。
记录时间：2018-11-09 11:42:37,521 日志级别：INFO  消息：本次服务已完成。
记录时间：2018-11-09 11:48:34,823 日志级别：INFO  消息：开始解析文件！
记录时间：2018-11-09 11:48:34,833 日志级别：INFO  消息：本次发现1个文件，9个图片
记录时间：2018-11-09 11:48:34,833 日志级别：INFO  消息：正在解析文章：5.txt
记录时间：2018-11-09 11:48:39,900 日志级别：INFO  消息：正在将1个文章，插入到数据库。
记录时间：2018-11-09 11:48:46,713 日志级别：INFO  消息：正在将1个文章，插入到数据库，已完成。
记录时间：2018-11-09 11:48:48,793 日志级别：INFO  消息：本次服务已完成。
记录时间：2018-11-09 11:52:08,856 日志级别：INFO  消息：开始解析文件！
记录时间：2018-11-09 11:52:08,871 日志级别：INFO  消息：本次发现1个文件，9个图片
记录时间：2018-11-09 11:52:08,872 日志级别：INFO  消息：正在解析文章：5.txt
记录时间：2018-11-09 11:52:11,687 日志级别：INFO  消息：正在将1个文章，插入到数据库。
记录时间：2018-11-09 11:52:12,082 日志级别：INFO  消息：正在将1个文章，插入到数据库，已完成。
记录时间：2018-11-09 11:52:12,083 日志级别：INFO  消息：本次服务已完成。
记录时间：2018-11-09 11:58:32,804 日志级别：INFO  消息：开始解析文件！
记录时间：2018-11-09 11:58:32,814 日志级别：INFO  消息：本次发现4个文件，17个图片
记录时间：2018-11-09 11:59:24,759 日志级别：INFO  消息：开始解析文件！
记录时间：2018-11-09 11:59:24,770 日志级别：INFO  消息：本次发现4个文件，17个图片
记录时间：2018-11-09 14:57:13,526 日志级别：INFO  消息：开始解析文件！
记录时间：2018-11-09 14:57:13,534 日志级别：INFO  消息：本次发现4个文件，17个图片
记录时间：2018-11-09 14:58:04,681 日志级别：INFO  消息：开始解析文件！
记录时间：2018-11-09 14:58:04,691 日志级别：INFO  消息：本次发现4个文件，17个图片
记录时间：2018-11-09 15:47:16,697 日志级别：INFO  消息：开始解析文件！
记录时间：2018-11-09 15:47:16,708 日志级别：INFO  消息：本次发现4个文件，17个图片
记录时间：2018-11-09 15:47:16,708 日志级别：INFO  消息：文件排序！
记录时间：2018-11-09 15:47:16,710 日志级别：INFO  消息：文件utf-8编码已经检查？【y/n】
记录时间：2018-11-09 15:47:57,900 日志级别：INFO  消息：开始解析文件！
记录时间：2018-11-09 15:47:57,908 日志级别：INFO  消息：本次发现4个文件，17个图片
记录时间：2018-11-09 15:47:57,909 日志级别：INFO  消息：文件utf-8编码已经检查？【y/n】
记录时间：2018-11-09 15:47:59,463 日志级别：INFO  消息：文件排序！
记录时间：2018-11-09 15:47:59,464 日志级别：INFO  消息：正在解析文章：6.txt
记录时间：2018-11-09 15:48:29,851 日志级别：INFO  消息：开始解析文件！
记录时间：2018-11-09 15:48:29,859 日志级别：INFO  消息：本次发现4个文件，17个图片
记录时间：2018-11-09 15:48:29,859 日志级别：INFO  消息：文件utf-8编码已经检查？【y/n】
记录时间：2018-11-09 15:49:28,154 日志级别：INFO  消息：开始解析文件！
记录时间：2018-11-09 15:49:28,161 日志级别：INFO  消息：本次发现4个文件，17个图片
记录时间：2018-11-09 15:49:28,162 日志级别：INFO  消息：文件utf-8编码已经检查？【y/n】
记录时间：2018-11-09 15:51:43,778 日志级别：INFO  消息：开始解析文件！
记录时间：2018-11-09 15:51:43,787 日志级别：INFO  消息：本次发现4个文件，17个图片
记录时间：2018-11-09 15:51:43,788 日志级别：INFO  消息：文件utf-8编码已经检查？【y/n】

记录时间：2018-11-09 15:52:08,749 日志级别：INFO  消息：开始解析文件！
记录时间：2018-11-09 15:52:08,756 日志级别：INFO  消息：本次发现4个文件，17个图片
记录时间：2018-11-09 15:52:08,756 日志级别：INFO  消息：文件utf-8编码已经检查？【y/n】
记录时间：2018-11-09 15:52:30,558 日志级别：INFO  消息：开始解析文件！
记录时间：2018-11-09 15:52:30,566 日志级别：INFO  消息：本次发现4个文件，17个图片
记录时间：2018-11-09 15:52:30,566 日志级别：INFO  消息：文件utf-8编码已经检查？【y/n】
记录时间：2018-11-09 15:54:01,417 日志级别：INFO  消息：开始解析文件！
记录时间：2018-11-09 15:54:01,424 日志级别：INFO  消息：本次发现4个文件，17个图片
记录时间：2018-11-09 15:54:01,424 日志级别：INFO  消息：文件utf-8编码已经检查？【y/n】
记录时间：2018-11-09 15:54:34,391 日志级别：INFO  消息：开始解析文件！
记录时间：2018-11-09 15:54:34,402 日志级别：INFO  消息：本次发现4个文件，17个图片
记录时间：2018-11-09 15:54:34,403 日志级别：INFO  消息：文件utf-8编码已经检查？【y/n】
记录时间：2018-11-09 15:55:20,976 日志级别：INFO  消息：开始解析文件！
记录时间：2018-11-09 15:55:20,985 日志级别：INFO  消息：本次发现4个文件，17个图片
记录时间：2018-11-09 15:55:20,985 日志级别：INFO  消息：文件utf-8编码已经检查？【y/n】
记录时间：2018-11-09 17:12:33,629 日志级别：INFO  消息：开始解析文件！
记录时间：2018-11-09 17:12:45,970 日志级别：INFO  消息：本次发现4个文件，17个图片
记录时间：2018-11-09 17:12:45,971 日志级别：INFO  消息：文件排序！
记录时间：2018-11-09 17:12:45,972 日志级别：INFO  消息：正在解析文章：5.txt
记录时间：2018-11-09 17:12:46,033 日志级别：INFO  消息：正在将1个文章，插入到数据库。
记录时间：2018-11-09 17:12:46,409 日志级别：INFO  消息：正在将1个文章，插入到数据库，已完成。
记录时间：2018-11-09 17:12:46,409 日志级别：INFO  消息：正在解析文章：6.txt
记录时间：2018-11-09 17:12:46,415 日志级别：INFO  消息：正在将1个文章，插入到数据库。
记录时间：2018-11-09 17:12:46,435 日志级别：INFO  消息：正在将1个文章，插入到数据库，已完成。
记录时间：2018-11-09 17:12:46,435 日志级别：INFO  消息：正在解析文章：7.txt
记录时间：2018-11-09 17:12:46,441 日志级别：INFO  消息：正在将1个文章，插入到数据库。
记录时间：2018-11-09 17:12:46,468 日志级别：INFO  消息：正在将1个文章，插入到数据库，已完成。
记录时间：2018-11-09 17:12:46,470 日志级别：INFO  消息：正在解析文章：8.txt
记录时间：2018-11-09 17:12:46,487 日志级别：INFO  消息：正在将1个文章，插入到数据库。
记录时间：2018-11-09 17:12:46,513 日志级别：INFO  消息：正在将1个文章，插入到数据库，已完成。
记录时间：2018-11-09 17:12:46,514 日志级别：INFO  消息：本次服务已完成。
记录时间：2018-11-09 17:13:42,820 日志级别：INFO  消息：开始解析文件！
记录时间：2018-11-09 17:13:42,831 日志级别：INFO  消息：本次发现4个文件，17个图片
记录时间：2018-11-09 17:13:42,832 日志级别：INFO  消息：文件排序！
记录时间：2018-11-09 17:13:42,833 日志级别：INFO  消息：正在解析文章：5.txt
记录时间：2018-11-12 09:20:20,731 日志级别：INFO  消息：开始解析文件！
记录时间：2018-11-12 09:24:23,101 日志级别：INFO  消息：本次发现4个文件，17个图片
记录时间：2018-11-12 09:24:23,102 日志级别：INFO  消息：文件排序！
记录时间：2018-11-12 09:39:02,019 日志级别：INFO  消息：开始解析文件！
记录时间：2018-11-12 09:39:02,026 日志级别：INFO  消息：本次发现4个文件，17个图片
记录时间：2018-11-12 09:39:02,027 日志级别：INFO  消息：文件排序！
记录时间：2018-11-12 09:39:06,063 日志级别：INFO  消息：正在解析文章：5.txt
